"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5740","get started link","","Mon Mar 17 19:00:30 IST 2025","passed","Mon Mar 17 19:00:36 IST 2025","","example.spec.js","",""
"","2338","Pop-Up validation","","Mon Mar 17 19:00:42 IST 2025","passed","Mon Mar 17 19:00:45 IST 2025","","Popups.spec.js","",""
"","26628","Browser Context playwright title","","Mon Mar 17 19:00:47 IST 2025","passed","Mon Mar 17 19:01:13 IST 2025","","UiBasic.spec.js","",""
"","30278","Add Item To cart","","Mon Mar 17 19:00:31 IST 2025","broken","Mon Mar 17 19:01:01 IST 2025","","login.spec.js","",""
"","31437","@Client App login","","Mon Mar 17 19:00:31 IST 2025","broken","Mon Mar 17 19:01:02 IST 2025","","e2e.spec.js","",""
"","1459","Checking the menu items are visible or not","","Mon Mar 17 19:00:41 IST 2025","passed","Mon Mar 17 19:00:42 IST 2025","","login.spec.js","",""
"","2693","Dropdown and check box","","Mon Mar 17 19:00:52 IST 2025","passed","Mon Mar 17 19:00:55 IST 2025","","UiBasic.spec.js","",""
"","3333","@smoke Window handling","","Mon Mar 17 19:00:53 IST 2025","passed","Mon Mar 17 19:00:57 IST 2025","","UiBasic.spec.js","",""
"","3289","@smoke Visual Testing","","Mon Mar 17 19:00:45 IST 2025","failed","Mon Mar 17 19:00:48 IST 2025","","Popups.spec.js","",""
"","16353","ScreenShot","","Mon Mar 17 19:00:55 IST 2025","passed","Mon Mar 17 19:01:11 IST 2025","","UiBasic.spec.js","",""
"","32397","Checking Dashboard title is visible or not","","Mon Mar 17 19:00:30 IST 2025","failed","Mon Mar 17 19:01:03 IST 2025","","login.spec.js","",""
"","32135","DatePicker","","Mon Mar 17 19:00:31 IST 2025","broken","Mon Mar 17 19:01:03 IST 2025","","DatePicker.spec.js","",""
"","31191","Frames validation","","Mon Mar 17 19:00:31 IST 2025","broken","Mon Mar 17 19:01:02 IST 2025","","Frames.spec.js","",""
"","2164","Login via API and perform UI actions","","Mon Mar 17 19:01:00 IST 2025","failed","Mon Mar 17 19:01:02 IST 2025","API Login and UI Test","WebApiTestPart1.spec.js","",""
"","13932","baseWeb","","Mon Mar 17 19:00:30 IST 2025","passed","Mon Mar 17 19:00:44 IST 2025","","DatePicker.spec.js","",""
"","31677","Calender","","Mon Mar 17 19:00:30 IST 2025","broken","Mon Mar 17 19:01:02 IST 2025","","DatePicker.spec.js","",""
"","14373","has title","","Mon Mar 17 19:00:30 IST 2025","passed","Mon Mar 17 19:00:45 IST 2025","","example.spec.js","",""
"","2286","Visual Testing","","Mon Mar 17 19:00:57 IST 2025","passed","Mon Mar 17 19:01:00 IST 2025","","visualTesting.spec.js","",""
"","30256","Playwright special locators","","Mon Mar 17 19:00:30 IST 2025","broken","Mon Mar 17 19:01:01 IST 2025","","getByLabel.spec.js","",""
